player_id,name
523,Giovani Lo Celso
524,Ryan Sessegnon
525,Ismaïla Sarr
526,Adrián San Miguel del Castillo
527,Georges-Kévin Nkoudou
528,Pedro Lomba Neto
529,Fikayo Tomori
530,Andy Lonergan
531,Caoimhin Kelleher
532,Kevin Danso
533,Billy Gilmour
534,Aaron Connolly
535,Daniel N'Lundulu
536,Tudor Baluta
537,Steven Alzate
538,Adam Idah
539,Jairo Riedewald
540,Matthew Longstaff
541,Bukayo Saka
542,Dimitri Foulquier
543,Alfie Whiteman
544,Eric Garcia
545,Addji Keaninkin Marc-Israel Guehi
546,Ezequiel Schelotto
547,Leon Clarke
548,Harry Lewis
549,Brandon Williams
550,Harvey Elliott
551,Archie Mair
552,Akin Famewo
553,David Martin
554,Dwight Gayle
555,Michel Vorm
556,Stephen Henderson
557,Beni Baningime
558,Brandon Austin
559,Bernard Ashley-Seal
560,Taylor Perry
561,Anthony Gordon
562,Scott Carson
563,Ayotomiwa Dele-Bashiru
564,Christian Saydee
565,Gavin Kilkenny
566,Owen Otasowie
567,Luke Cundle
568,Nathan Holland
569,Curtis Jones
570,Oumar Niasse
571,Mace Goodridge
572,Anthony Driscoll-Glennon
573,Robert Elliot
574,Mihai-Alexandru Dobre
575,Neco Williams
576,Emile Smith Rowe
577,Rhu-endly Martina
578,Sam Woods
579,Tyrick Mitchell
580,Brandon Pierrick
581,James Daly
582,Joseph Anang
583,Japhet Tanganga
584,William Smallbone
585,Tyreece John-Jules
586,Tariq Lamptey
587,Oskar Buur
588,Nya Kirby
589,Nathaniel Phillips
590,Takumi Minamino
591,Jack Rodwell
592,João Pedro Junqueira de Jesus
593,Jeremy Ngakia
594,Gonçalo Bento Soares Cardoso
595,Bernardo Costa Da Rosa
596,Abd-Al-Ali Morakinyo Olaposi Koiki
597,Filip Benkovic
598,Thomas Allan
599,Kelland Watts
600,Indiana Vassilev
601,Ondrej Duda
602,Lukas Rupp
603,José Reina
604,Ignacio Pussetto
605,Gedson Carvalho Fernandes
606,Darren Randolph
607,Ryan Giles
608,Giovanni McGregor
609,Bruno André Cavaco Jordao
610,Liam Gibson
611,Jack Robinson
612,Nabil Bentaleb
613,Mbwana Samatta
614,Valentino Lazaro
615,Steven Bergwijn
616,Tomas Soucek
617,Pablo Marí
618,Bruno Miguel Borges Fernandes
619,Daniel Castelo Podence
620,Josh Brownhill
621,Sander Berge
622,Richairo Zivkovic
